after load_pe
    PC:  5368713772 -> 5368810986, op->size=32, di->imm.addr=97208 ; disp=0, dispSize=0
    PC:  5368713906 -> 5368796828, op->size=32, di->imm.addr=82917 ; disp=0, dispSize=0
    PC:  5368713916 -> 5368811405, op->size=32, di->imm.addr=97483 ; disp=0, dispSize=0
    PC:  5368713934 -> 5368811405, op->size=32, di->imm.addr=97465 ; disp=0, dispSize=0
    PC:  5368713943 -> 5368811169, op->size=32, di->imm.addr=97220 ; disp=0, dispSize=0
    PC:  5368713953 -> 5368773104, op->size=32, di->imm.addr=59146 ; disp=0, dispSize=0
    PC:  5368713972 -> 5368714020, op->size=8, di->imm.addr=46 ; disp=0, dispSize=0
    PC:  5368713981 -> 5368773104, op->size=32, di->imm.addr=59118 ; disp=0, dispSize=0
    PC:  5368713990 -> 5368773104, op->size=32, di->imm.addr=59109 ; disp=0, dispSize=0
    PC:  5368713998 -> 5368773104, op->size=32, di->imm.addr=59101 ; disp=0, dispSize=0
    PC:  5368714013 -> 5368713974, op->size=8, di->imm.addr=-41 ; disp=0, dispSize=0
    PC:  5368714026 -> 5368811489, op->size=32, di->imm.addr=97457 ; disp=0, dispSize=0
    PC:  5368714043 -> 5368713722, op->size=32, di->imm.addr=-326 ; disp=0, dispSize=0
    PC:  5368714051 -> 5368716216, op->size=32, di->imm.addr=2160 ; disp=0, dispSize=0
    PC:  5368714056 -> 5368713570, op->size=32, di->imm.addr=-491 ; disp=0, dispSize=0
    PC:  5368714106 -> 5368756312, op->size=32, di->imm.addr=42201 ; disp=0, dispSize=0
    PC:  5368714125 -> 5368773640, op->size=32, di->imm.addr=59510 ; disp=0, dispSize=0
    PC:  5368714132 -> 5368811504, op->size=32, di->imm.addr=97366 ; disp=0, dispSize=0
    PC:  5368714154 -> 5368811546, op->size=32, di->imm.addr=97386 ; disp=0, dispSize=0
    PC:  5368714168 -> 5368756312, op->size=32, di->imm.addr=42139 ; disp=0, dispSize=0
    PC:  5368714199 -> 5368714244, op->size=32, di->imm.addr=40 ; disp=0, dispSize=0
    PC:  5368714217 -> 5368802832, op->size=32, di->imm.addr=88610 ; disp=0, dispSize=0
    PC:  5368714291 -> 5368811578, op->size=32, di->imm.addr=97281 ; disp=0, dispSize=0
    PC:  5368714311 -> 5368802832, op->size=32, di->imm.addr=88516 ; disp=0, dispSize=0
    PC:  5368714399 -> 5368763264, op->size=32, di->imm.addr=48860 ; disp=0, dispSize=0
    PC:  5368714421 -> 5368811622, op->size=32, di->imm.addr=97195 ; disp=0, dispSize=0
    PC:  5368714437 -> 5368714670, op->size=32, di->imm.addr=227 ; disp=0, dispSize=0
    PC:  5368714451 -> 5368714622, op->size=32, di->imm.addr=165 ; disp=0, dispSize=0
    PC:  5368714497 -> 5368714709, op->size=32, di->imm.addr=206 ; disp=0, dispSize=0
    PC:  5368714503 -> 5368714761, op->size=32, di->imm.addr=252 ; disp=0, dispSize=0
    PC:  5368714516 -> 5368812147, op->size=32, di->imm.addr=97625 ; disp=0, dispSize=0
    PC:  5368714525 -> 5368811847, op->size=32, di->imm.addr=97316 ; disp=0, dispSize=0
    PC:  5368714534 -> 5368811774, op->size=32, di->imm.addr=97234 ; disp=0, dispSize=0
    PC:  5368714543 -> 5368811645, op->size=32, di->imm.addr=97096 ; disp=0, dispSize=0
    PC:  5368714552 -> 5368811766, op->size=32, di->imm.addr=97208 ; disp=0, dispSize=0
    PC:  5368714580 -> 5368812193, op->size=32, di->imm.addr=97607 ; disp=0, dispSize=0
    PC:  5368714607 -> 5368714599, op->size=8, di->imm.addr=-10 ; disp=0, dispSize=0
